"","artist_full_name","art_title","art_location_name","art_location_street_address","art_location_city","art_location_state","art_location_zip","art_full_address","art_location_long","art_location_lat"
"2","Belinda Casey","X","Learning & Research Center","2800  Star of Texas Rd.","Austin","TX",78719,"2800  Star of Texas Rd.; Austin TX 78719",-97.8066293,30.2665587
"3","Kathleen Ash","Read More Books","North Village Branch Library","2505 Steck Ave.","Austin","TX",78757,"2505 Steck Ave.; Austin TX 78757",-97.7305646,30.3621539
"4","Rita Starpattern","Outdoor Studio","Central Access Television Facility","1143 Northwestern Ave.","Austin","TX",78702,"1143 Northwestern Ave.; Austin TX 78702",-97.7159391,30.2694977
"5","Sasha Dela","Variegated Continuum","Mexican American Cultural Center","600 River Street","Austin","TX",78701,"600 River Street; Austin TX 78701",-97.7400431,30.2581564
"6","Eddie Dixon","Go Forth","Carver Museum","1163 Angelina St.","Austin","TX",78702,"1163 Angelina St.; Austin TX 78702",-97.7240979,30.2700042
"7","Lori Norwood","Learning to Fly","Milwood Branch","12500 Amherst Dr.","Austin","TX",78727,"12500 Amherst Dr.; Austin TX 78727",-97.7161692,30.4223445
"8","Damian Priour","The Waller Creek Shelves","Austin Convention Center","500 East Cesar Chavez St.","Austin","TX",78701,"500 East Cesar Chavez St.; Austin TX 78701",-97.7394833,30.2636408
"9","Kathleen Ash","Sea of Knowledge","North Village Branch Library","2505 Steck Ave.","Austin","TX",78757,"2505 Steck Ave.; Austin TX 78757",-97.7305646,30.3621539
"10","Andrew Ortiz","Worker","Health and Human Services Administration","7201 Levander Loop","Austin","TX",78702,"7201 Levander Loop; Austin TX 78702",-97.6904186,30.2527847
"11","Alfredo Martinez","The Children are the Future","Holly Street Power Plant","2400 Holly St.","Austin","TX",78702,"2400 Holly St.; Austin TX 78702",-97.7192254,30.2497726
"12","Victoria Smith","Lady Bird Johnson Wildflower Spring #1","Health and Human Services Administration","7201 Levander Loop","Austin","TX",78702,"7201 Levander Loop; Austin TX 78702",-97.6904186,30.2527847
"13","Jimmy Luu","Letterscape","Health and Human Services Campus","7201 Levander Loop","Austin","TX",78702,"7201 Levander Loop; Austin TX 78702",-97.6904186,30.2527847
"14","Connie Arismendi","Rayo de Esperanza - A Beacon of Hope: Sculpture; Community Kiosk; Benches","Terrazas Branch Library","1105 E. Cesar Chavez Street","Austin","TX",78702,"1105 E. Cesar Chavez Street; Austin TX 78702",-97.7334621,30.2599154
"15","David Serrano","La Pinata","Learning & Research Center","2800  Star of Texas Rd.","Austin","TX",78719,"2800  Star of Texas Rd.; Austin TX 78719",-97.8066293,30.2665587
"16","Claudia Reese","Untitled","Southeast Austin Community Branch","5803 Nuckols Crossing","Austin","TX",78744,"5803 Nuckols Crossing; Austin TX 78744",-97.7419605,30.1876224
"17","Sandra Fiedorek","to Parts Unknown","Austin-Bergstrom International Airport","3600 Presidential Blvd.","Austin","TX",78719,"3600 Presidential Blvd.; Austin TX 78719",-97.666829,30.2021489
"18","Shelley Wood","Shoestring","Health and Human Services Administration","7201 Levander Loop","Austin","TX",78702,"7201 Levander Loop; Austin TX 78702",-97.6904186,30.2527847
"19","Connie Arismendi","Trail of Tejano Legends: Una Canción de Fe Y Familia","Mexican American Cultural Center","600 River Street","Austin","TX",78701,"600 River Street; Austin TX 78701",-97.7400431,30.2581564
"20","Gabel Karsten","One by One","Learning & Research Center","2800  Star of Texas Rd.","Austin","TX",78719,"2800  Star of Texas Rd.; Austin TX 78719",-97.8066293,30.2665587
"21","Twyla Arthur","Celebrating Traditions","Springdale Park","Webberville Road","Austin","TX",NA,"Webberville Road; Austin TX NA",-97.6888464,30.2760506
"22","Elizabeth Busch","Aurora","Conley-Guerrero Senior Activity Center","808 Nile Rd.","Austin","TX",78702,"808 Nile Rd.; Austin TX 78702",-97.711166,30.2656491
"23","Buster Graybill","Bait Box","East Side Hike and Bike Trail","","Austin","Texas",78702,"; Austin Texas 78702",-97.7145152,30.2603535
"24","Hawkeye Glenn","formation; language; memory","Susanna Dickinson House","Brush Square Park 409 East Fifth Street","Austin","TX",78701,"Brush Square Park; 409 East Fifth Street Austin TX 78701",-97.7390392,30.2654445
"25","Ann M.Adams","Big Chiller Blues","Austin Convention Center Parking Garage/Chiller Tower","5th Street and Sabine Street","Austin","TX",78701,"5th Street and Sabine Street; Austin TX 78701",-97.7364522,30.2652373
"26","Misty Keasler","Kids in the Mirror; Orphanage at Svir Stroi. Svir Stroi; Russia","Health and Human Services Administration","7201 Levander Loop","Austin","TX",78702,"7201 Levander Loop; Austin TX 78702",-97.6904186,30.2527847
"27","John Yancey","Riffs and Rhythms","Austin Convention Center","500 East Cesar Chavez St.","Austin","TX",78701,"500 East Cesar Chavez St.; Austin TX 78701",-97.7394833,30.2636408
"28","Malou Flato","Untitled","Waller Creek Center","625 East 10th Street","Austin","TX",78701,"625 East 10th Street; Austin TX 78701",-97.7347146,30.2696169
"29","Rolando Briseno","Macro / Micro Culture","Austin Convention Center","500 East Cesar Chavez St.","Austin","TX",78701,"500 East Cesar Chavez St.; Austin TX 78701",-97.7394833,30.2636408
"31","Bruce Wolfe","Barbara Jordan Memorial","Austin-Bergstrom International Airport","3600 Presidential Blvd.","Austin","TX",78719,"3600 Presidential Blvd.; Austin TX 78719",-97.666829,30.2021489
"32","Louis Herrera","Zilker Gardens Main Entry Gate","Zilker Botanical Garden","2220 Barton Springs Rd.","Austin","TX",78746,"2220 Barton Springs Rd.; Austin TX 78746",-97.7714626,30.2687834
"33","Freddie McCoo","A River Runs Thru Us","Carver Branch","1161 Angelina St.","Austin","TX",78702,"1161 Angelina St.; Austin TX 78702",-97.7240279,30.2695585
"34","Metz Recreation Center Students","Me Barrio","Holly Street Power Plant","2400 Holly St.","Austin","TX",78702,"2400 Holly St.; Austin TX 78702",-97.7192254,30.2497726
"35","Dale Whistler","Untitled","Dick Nichols Pool & Bathhouse","8011 Beckett Rd.","Austin","TX",78749,"8011 Beckett Rd.; Austin TX 78749",-97.8634214,30.2139446
"36","Sandra Fiedorek","-56""- (Fifty-Six Inches)","Howson Branch","2500 Exposition Blvd.","Austin","TX",78703,"2500 Exposition Blvd.; Austin TX 78703",-97.7675915,30.2982508
